NODES ID;LABELS;FUNCTIONAL NETWORK Yeo ID
21;Rh cuneus;1
22;Rh pericalcarine;1
23;Rh lateraloccipital;1
24;Rh lingual;1
25;Rh fusiform;1
26;Rh parahippocampal;1
55;Lh cuneus;1
56;Lh pericalcarine;1
57;Lh lateraloccipital;1
58;Lh lingual;1
59;Lh fusiform;1
10;Rh precentral;2
11;Rh paracentral;2
16;Rh postcentral;2
31;Rh bankssts;2
32;Rh superiortemporal;2
33;Rh transversetemporal;2
44;Lh precentral;2
45;Lh paracentral;2
50;Lh postcentral;2
66;Lh superiortemporal;2
67;Lh transversetemporal;2
18;Rh superiorparietal;3
52;Lh superiorparietal;3
5;Rh parstriangularis;4
6;Rh parsopercularis;4
13;Rh caudalanteriorcingulate;4
14;Rh posteriorcingulate;4
17;Rh supramarginal;4
34;Rh insula;4
40;Lh parsopercularis;4
47;Lh caudalanteriorcingulate;4
48;Lh posteriorcingulate;4
51;Lh supramarginal;4
68;Lh insula;4
1;Rh lateralorbitofrontal;5
3;Rh frontalpole;5
4;Rh medialorbitofrontal;5
27;Rh entorhinal;5
28;Rh temporalpole;5
29;Rh inferiortemporal;5
35;Lh lateralorbitofrontal;5
37;Lh frontalpole;5
38;Lh medialorbitofrontal;5
61;Lh entorhinal;5
62;Lh temporalpole;5
63;Lh inferiortemporal;5
7;Rh 'rostralmiddlefrontal;6
9;Rh caudalmiddlefrontal;6
41;Lh rostralmiddlefrontal;6
2;Rh parsorbitalis;7
8;Rh superiorfrontal;7
12;Rh rostralanteriorcingulate;7
15;Rh isthmuscingulate;7
19;Rh inferiorparietal;7
20;Rh precuneus;7
30;Rh middletemporal;7
36;Lh parsorbitalis;7
39;Lh parstriangularis;7
42;Lh superiorfrontal;7
43;Lh caudalmiddlefrontal;7
46;Lh rostralanteriorcingulate;7
49;Lh isthmuscingulate;7
53;Lh inferiorparietal;7
54;Lh precuneus;7
60;Lh parahippocampal;7
64;Lh middletemporal;7
65;Lh bankssts;7
